"Seattle-Bellevue-Everett, WA MD",,,,,,,
2012 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish Counties,,,,,,,
,,,,,,,
,,,,,,,
SOC,,Estimated,Average,,Percentiles,,Annual
41-1011,"Retail Sales Wkrs, 1st-Line Supervisors/Mgrs of","9,777",$22.68,$16.94,$20.72,$25.20,"$47,166"
41-2031,Retail Salespersons,"44,106",$14.36,$10.05,$12.00,$15.76,"$29,856"
49-9096,Riggers,,$24.61,$17.81,$22.96,$31.54,"$51,181"
51-4023,"Rolling Machine Setters, Ops, & Tenders, Mtl/Plastic",356,$20.85,$17.06,$20.54,$23.02,"$43,369"
47-2181,Roofers,"1,684",$22.11,$13.99,$20.41,$27.84,"$45,996"
53-5011,Sailors & Marine Oilers,"1,289",$23.44,$22.11,$23.77,$24.49,"$48,755"
41-9799,"Sales & Related Workers, All Other","2,990",$20.43,$12.38,$18.57,$26.44,"$42,499"
41-9031,Sales Engineers,"1,259",$55.56,$39.42,$49.36,$64.53,"$115,563"
11-2022,Sales Mgrs,"5,161",$66.91,$44.09,$60.11,$81.65,"$139,169"
41-3099,"Sales Reps, Svcs, All Other","7,874",$30.84,$18.09,$27.43,$38.79,"$64,151"
41-4012,"Sales Reps, Wholesale/Manuf (Not Tech/Sci Prdcts)","17,214",$33.64,$21.58,$30.70,$43.45,"$69,974"
41-4011,"Sales Reps, Wholesale/Manuf, Tech.Scientific Prdcts","6,088",$43.58,$27.99,$39.07,$52.21,"$90,646"
51-7041,"Sawing Machine Setters, Ops, & Tenders, Wood",228,$17.11,$14.43,$16.68,$19.19,"$35,592"
25-2031,Secondary School Teachers (Not Special/Voc Ed),"5,131",,,,,"$60,966"
43-6014,"Secretaries, Not Legal, Medical, & Executive","13,466",$19.58,$16.42,$19.70,$22.69,"$40,731"
41-3031,"Securities, Commodities, & Financial Svcs Sales Agents","2,952",$41.17,$18.06,$28.18,$56.60,"$85,624"
49-2098,Security & Fire Alarm Systems Installers,551,$23.49,$18.14,$24.62,$27.70,"$48,841"
33-9032,Security Guards,"8,058",$19.27,$12.53,$16.60,$22.08,"$40,080"
25-3021,Self-Enrichment Education Teachers,"2,784",$21.63,$13.94,$20.32,$28.06,"$44,987"
51-9012,Separating & Filtering Machine Setters/Ops/Tndrs,238,$23.33,$18.68,$24.34,$27.10,"$48,520"
47-4071,Septic Tank Svcrs & Sewer Pipe Cleaners,322,$22.37,$17.19,$22.72,$27.32,"$46,535"
27-1027,Set & Exhibit Designers,79,$25.92,$18.24,$20.96,$30.18,"$53,917"
51-6031,Sewing Machine Operators,789,$11.83,$9.82,$10.94,$12.14,"$24,601"
47-2211,Sheet Metal Wkrs,"1,275",$28.65,$20.47,$29.71,$36.61,"$59,585"
53-5031,Ship Engineers,480,$39.51,$32.68,$39.97,$44.31,"$82,196"
43-5071,"Shipping, Receiving, & Traffic Clerks","7,113",$18.24,$13.54,$16.56,$21.21,"$37,931"
51-6041,Shoe & Leather Wkrs & Repairers,,$13.66,$10.91,$13.67,$16.52,"$28,392"
39-5094,Skin Care Specialists,570,$18.23,$9.31,$19.05,$22.33,"$37,916"
51-3023,Slaughterers & Meat Packers,275,$12.45,$9.66,$11.39,$13.87,"$25,890"
39-1012,Slot Key Persons,51,,,,,
11-9151,Social & Community Svc Mgrs,"1,121",$37.06,$28.13,$34.38,$43.11,"$77,073"
21-1093,Social & Human Svc Assistants,"3,227",$14.76,$11.62,$13.91,$17.26,"$30,709"
19-4061,Social Science Research Assistants,,$18.48,$15.83,$17.65,$20.41,"$38,431"
25-1069,"Social Sciences Teachers, Postsecondary, A/O",50,,,,,"$68,853"
19-3099,"Social Scientists & Related Wkrs, All Other",415,$34.41,$25.90,$34.40,$41.12,"$71,572"
21-1029,"Social Wkrs, All Other",704,$22.64,$15.92,$19.76,$29.57,"$47,103"
25-1113,"Social Work Teachers, Postsecondary",160,,,,,"$81,444"
19-3041,Sociologists,107,$29.20,$24.54,$27.00,$33.51,"$60,730"
25-1067,"Sociology Teachers, Postsecondary",128,,,,,"$75,077"
19-1013,Soil & Plant Scientists,28,$30.80,$25.74,$32.05,$36.64,"$64,052"
27-4014,Sound Engineering Technicians,,$28.89,$14.36,$23.20,$33.27,"$60,085"
25-2041,"Special Ed Teachers, Preschool, Kindergarten, Elementary","1,113",,,,,"$59,271"
25-2053,"Special Education Teachers, Middle School",407,,,,,"$58,797"
25-2054,"Special Education Teachers, Secondary School",669,,,,,"$61,119"
29-1127,Speech-Language Pathologists,"1,042",$35.85,$29.60,$35.57,$42.47,"$74,578"
51-8021,Stationary Engineers & Boiler Operators,,$29.68,$26.50,$30.52,$34.43,"$61,716"
43-9111,Statistical Assistants,265,$21.58,$19.52,$21.29,$23.08,"$44,887"
15-2041,Statisticians,419,$36.69,$27.06,$37.02,$45.12,"$76,325"
43-5081,Stock Clerks & Order Fillers,"16,531",$15.03,$10.67,$13.92,$18.63,"$31,249"
47-2022,Stonemasons,,$23.69,$18.92,$22.09,$30.70,"$49,282"
47-2221,Structural Iron & Steel Wkrs,605,$33.43,$27.82,$34.07,$40.19,"$69,538"
51-2041,Structural Metal Fabricators & Fitters,614,$24.37,$18.13,$22.67,$31.21,"$50,672"
21-1011,Substance Abuse & Behavioral Disorder Counselors,764,$19.49,$15.13,$19.54,$23.01,"$40,533"
29-1067,Surgeons,542,$122.01,,,,"$253,779"
29-2055,Surgical Technologists,988,$25.20,$21.76,$25.26,$28.56,"$52,425"
19-3022,Survey Researchers,79,$38.15,$25.61,$36.06,$44.39,"$79,344"
17-3031,Surveying & Mapping Technicians,435,$25.02,$21.30,$24.77,$28.34,"$52,046"
17-1022,Surveyors,349,$33.89,$28.57,$32.84,$37.57,"$70,482"
53-6031,Svc Station Attendants,700,$11.66,$9.55,$10.84,$12.85,"$24,265"
43-2011,"Switchboard Operators, Including Answering Svc",924,$16.31,$12.98,$15.74,$18.81,"$33,934"
51-6052,"Tailors, Dressmakers, & Custom Sewers",135,$18.91,$16.33,$19.03,$21.71,"$39,341"
53-7121,"Tank Car, Truck, & Ship Loaders",123,,,,,
47-2082,Tapers,549,$22.80,$17.55,$23.67,$27.35,"$47,416"
13-2082,Tax Preparers,657,$19.72,$12.59,$14.75,$20.78,"$41,023"
53-3041,Taxi Drivers & Chauffeurs,"2,126",$12.03,$9.32,$10.74,$13.62,"$25,020"
25-9041,Teacher Assistants,"10,511",,,,,"$32,407"
25-3999,"Teachers, Primary, Secondary, & Adult, All Others","7,039",,,,,"$39,952"
51-2092,Team Assemblers,"2,926",$15.33,$11.92,$14.77,$18.17,"$31,889"
27-3042,Tech Writers,"1,186",$41.19,$33.71,$41.82,$50.21,"$85,672"
49-2022,Telecom Equipment Installers & Repairers (Not Line),"2,207",$26.77,$20.64,$27.32,$33.20,"$55,683"
49-9052,Telecommunications Line Installers & Repairers,"1,319",$24.71,$21.26,$25.67,$28.44,"$51,392"
41-9041,Telemarketers,"2,358",$12.62,$9.69,$11.33,$13.87,"$26,255"
43-3071,Tellers,"4,350",$13.94,$12.23,$13.61,$15.10,"$29,004"
51-6062,"Textile Cutting Machine Setters, Ops, & Tenders",,$15.07,$13.39,$15.62,$17.42,"$31,335"
51-6099,"Textile, Apparel, & Furnishings Wkrs, All Other",,$13.18,$11.97,$13.18,$14.38,"$27,404"
47-2044,Tile & Marble Setters,280,$26.27,$19.71,$28.01,$33.28,"$54,648"
49-3093,Tire Repairers & Changers,841,$16.33,$12.23,$16.29,$20.32,"$33,949"
23-2093,"Title Examiners, Abstractors, & Searchers",695,$24.66,$19.22,$22.77,$31.27,"$51,285"
51-4111,Tool & Die Makers,998,$30.77,$29.77,$32.48,$35.19,"$64,009"
51-4194,"Tool Grinders, Filers, & Sharpeners",,$27.86,$21.42,$30.47,$34.01,"$57,947"
39-7011,Tour Guides & Escorts,299,$12.84,$9.94,$11.47,$14.37,"$26,723"
53-6041,Traffic Technicians,29,$24.68,$19.87,$21.93,$32.19,"$51,325"
11-3131,Training & Development Managers,463,$52.20,$41.27,$49.62,$61.84,"$108,566"
13-1151,Training & Development Specialists,"2,408",$36.83,$28.79,$36.79,$44.28,"$76,618"
53-6051,Transportation Inspectors,474,$31.51,$14.52,$27.71,$45.42,"$65,534"
53-6099,"Transportation Wkrs, All Other",,$17.92,$11.84,$18.06,$21.95,"$37,273"
11-3071,"Transportation, Storage, & Distribution Mgrs","1,904",$51.05,$37.19,$48.19,$60.55,"$106,196"
53-1031,"Transptn/Material-Mvng Vehicle Ops, 1st-Ln Spvrs/Mgrs","2,746",$29.89,$21.51,$27.49,$35.90,"$62,176"
41-3041,Travel Agents,815,$19.71,$15.66,$19.94,$23.03,"$40,995"
39-7012,Travel Guides,,$19.26,$18.97,$20.37,$21.79,"$40,068"
37-3013,Tree Trimmers & Pruners,325,$18.45,$14.71,$17.14,$22.24,"$38,389"
53-3032,"Truck Drivers, Heavy & Tractor-Trailer","10,177",$21.61,$17.61,$20.75,$24.89,"$44,956"
53-3033,"Truck Drivers, Light or Delivery Svcs","7,392",$17.74,$12.72,$15.95,$21.24,"$36,886"
27-2023,"Umpires, Referees, & Other Sports Officials",,,,,,"$22,634"
51-6093,Upholsterers,258,$19.66,$13.07,$19.59,$23.36,"$40,877"
19-3051,Urban & Regional Planners,"1,585",$35.49,$28.66,$35.33,$42.04,"$73,810"
39-3031,"Ushers, Lobby Attendants, & Ticket Takers",,$11.80,$9.46,$11.36,$13.71,"$24,545"
29-1131,Veterinarians,609,$38.13,$27.16,$37.16,$45.58,"$79,319"
31-9096,Veterinary Assistants & Laboratory Animal Caretakers,738,$12.85,$11.11,$12.60,$14.23,"$26,734"
29-2056,Veterinary Technologists & Technicians,867,$16.28,$13.52,$15.86,$18.25,"$33,861"
25-1194,"Vocational Education Teachers, Postsecondary","2,765",$32.08,$23.75,$29.06,$40.61,"$66,725"
25-2032,"Vocational Education Teachers, Secondary School",687,,,,,"$62,063"
35-3031,Waiters & Waitresses,"20,079",$15.19,$12.11,$13.61,$16.02,"$31,598"
49-9064,Watch Repairers,,$17.76,$15.69,$17.51,$20.02,"$36,929"
51-8031,Water & Liquid Waste Treatment Plant & System Ops,561,$30.80,$26.69,$31.00,$34.85,"$64,076"
43-5111,"Weighers, Measurers, Checkers, & Samplers, Recordkeeping",381,$15.20,$11.51,$14.35,$18.28,"$31,606"
51-4121,"Welders, Cutters, Solderers, & Brazers","1,919",$23.21,$19.28,$22.26,$26.74,"$48,268"
51-4122,Welding/Soldering/Brazing Machine Setters/Ops/Tenders,,$18.11,$12.69,$17.09,$21.85,"$37,667"
13-1022,"Wholesale & Retail Buyers, Not Farm Products","1,978",$34.02,$21.77,$26.95,$36.17,"$70,766"
51-7099,"WoodWkrs, All Other",,$16.51,$13.67,$16.46,$19.33,"$34,332"
51-7042,Woodworking Machine Setters/Ops/Tenders (Not Sawing),234,$14.43,$11.33,$14.49,$17.21,"$30,011"
43-9022,Word Processors & Typists,427,$21.90,$16.28,$21.18,$27.34,"$45,564"
27-3043,Writers & Authors,689,$36.89,$25.51,$36.69,$45.87,"$76,748"
19-1023,Zoologists & Wildlife Biologists,765,$36.28,$25.39,$31.85,$45.48,"$75,446"
