"Seattle-Bellevue-Everett, WA MD",,,,,,,
2015 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish counties,,,,,,,
Index,,,,,,,
,,,,,,,
SOC,"Seattle-Bellevue-Everett, WA MD", Estimated ,Average,,Percentiles,,Annual
51-9198,Production Worker Helpers," 2,058 ",$13.38,$9.81,$12.02,$15.62,"$27,827"
51-9199,"Production Workers, All Other"," 1,737 ",$13.96,$10.16,$11.42,$14.95,"$29,039"
43-5061,"Production, Planning & Expediting Clerks"," 5,281 ",$25.14,$18.91,$23.37,$32.04,"$52,293"
43-9081,Proofreaders & Copy Markers, 161 ,$19.20,$15.32,$18.90,$22.77,"$39,943"
11-9141,"Property, Real Estate & Community Association Managers"," 2,038 ",$38.76,$25.49,$33.00,$49.01,"$80,631"
33-1099,"Protective Service Worker Supervisors, All Other", 955 ,$26.06,$16.83,$23.65,$32.48,"$54,189"
33-9099,"Protective Service Workers, All Other", 784 ,$22.82,$14.75,$17.41,$27.04,"$47,455"
31-1013,Psychiatric Aides, 200 ,$13.94,$10.94,$12.68,$16.07,"$28,990"
29-2053,Psychiatric Technicians, 70 ,$19.33,$17.34,$19.67,$21.71,"$40,204"
29-1066,Psychiatrists, 118 ,,,,,"$182,890"
19-3039,"Psychologists, All Other", 208 ,$47.50,$36.15,$46.10,$53.83,"$98,801"
25-1066,"Psychology Teachers, Postsecondary", 340 ,,,,,"$69,437"
27-3012,Public Address System & Other Announcers, 66 ,$13.96,$9.65,$10.93,$20.03,"$29,040"
11-2031,Public Relations & Fundraising Managers," 1,162 ",$54.43,$38.99,$48.77,$63.89,"$113,210"
27-3031,Public Relations Specialists," 2,582 ",$32.00,$23.81,$31.44,$38.31,"$66,567"
13-1023,"Purchasing Agents, Except Wholesale/Retail/Farm Products"," 6,824 ",$35.74,$26.93,$34.87,$44.47,"$74,344"
11-3061,Purchasing Managers," 1,356 ",$64.47,$48.34,$60.96,$78.15,"$134,087"
29-1124,Radiation Therapists, 187 ,$52.99,$43.42,$51.75,$60.88,"$110,218"
27-3011,Radio & Television Announcers, 311 ,$27.70,$11.74,$18.48,$29.77,"$57,624"
49-2021,"Radio, Cellular & Tower Equipment Installers/Repairers", 338 ,$32.75,$27.35,$33.02,$37.85,"$68,107"
29-2034,Radiologic Technologists ," 1,752 ",$35.51,$30.07,$34.92,$41.26,"$73,847"
49-3043,Rail Car Repairers, 263 ,$25.48,$24.75,$26.79,$28.84,"$53,007"
47-4061,Rail Track Laying & Maintenance Equipment Operators,,$22.70,$20.30,$21.94,$23.58,"$47,213"
53-4031,Railroad Conductors & Yardmasters,,$26.79,$20.52,$26.62,$33.30,"$55,724"
41-9021,Real Estate Brokers, 338 ,$44.67,$24.13,$37.07,$58.93,"$92,910"
41-9022,Real Estate Sales Agents," 3,072 ",$23.95,$14.10,$18.19,$25.82,"$49,824"
43-4171,Receptionists & Information Clerks," 9,730 ",$15.90,$13.02,$15.43,$18.39,"$33,083"
25-1193,"Recreation & Fitness Studies Teachers, Postsecondary", 136 ,,,,,"$52,088"
39-9032,Recreation Workers," 2,664 ",$14.27,$10.67,$12.07,$15.99,"$29,664"
29-1125,Recreational Therapists, 93 ,$28.17,$21.23,$26.85,$34.78,"$58,587"
53-7081,Refuse & Recyclable Material Collectors, 833 ,$24.36,$19.76,$23.72,$29.26,"$50,661"
29-1141,Registered Nurses," 23,374 ",$41.09,$33.59,$40.79,$48.52,"$85,457"
21-1015,Rehabilitation Counselors," 2,488 ",$19.85,$14.01,$17.26,$23.72,"$41,289"
47-2171,Reinforcing Iron & Rebar Workers,,$29.91,$22.54,$30.96,$36.20,"$62,221"
21-2099,"Religious Workers, All Other", 111 ,$16.11,$11.28,$14.01,$17.44,"$33,522"
27-3022,Reporters & Correspondents, 376 ,$21.79,$12.65,$19.48,$28.84,"$45,324"
43-4181,Reservation/Transportation Ticket Agents/Travel Clerks," 1,465 ",$16.08,$11.53,$14.95,$20.52,"$33,448"
39-9041,Residential Advisors, 176 ,$15.65,$11.48,$13.63,$17.41,"$32,566"
29-1126,Respiratory Therapists, 628 ,$34.61,$29.75,$34.52,$40.10,"$71,982"
41-2031,Retail Salespersons," 50,258 ",$15.04,$10.65,$12.28,$16.03,"$31,288"
49-9096,Riggers, 31 ,$25.31,$21.18,$25.34,$29.22,"$52,652"
51-4023,Rolling Machine Setters/Operators & Tenders/Metal & Plastic, 161 ,$21.31,$16.02,$18.40,$22.77,"$44,337"
47-3016,Roofer Helpers, 158 ,$12.77,$10.65,$12.44,$14.56,"$26,561"
47-2181,Roofers," 1,174 ",$22.10,$15.43,$20.26,$30.08,"$45,967"
53-5011,Sailors & Marine Oilers," 1,707 ",$23.81,$20.18,$24.23,$27.68,"$49,533"
41-9099,"Sales & Related Workers, All Other",,$18.20,$13.33,$15.37,$20.76,"$37,847"
41-9031,Sales Engineers, 881 ,$57.41,$41.88,$56.54,$69.31,"$119,399"
11-2022,Sales Managers," 5,116 ",$61.26,$39.75,$56.27,$75.92,"$127,425"
41-3099,"Sales Reps, Services, All Other"," 10,061 ",$32.63,$20.01,$28.23,$42.50,"$67,867"
41-4012,"Sales Reps/Wholesale/Mfg, Except Tech/Science Products"," 21,570 ",$36.97,$21.82,$33.03,$46.48,"$76,889"
41-4011,"Sales Reps/Wholesale/Mfg, Tech/Scientific Products"," 3,833 ",$45.22,$27.95,$43.25,$62.73,"$94,063"
41-1012,"Sales Worker Supervisors, Non-Retail"," 3,052 ",$45.36,$28.15,$38.24,$57.56,"$94,346"
41-1011,"Sales Worker Supervisors, Retail"," 9,380 ",$23.31,$17.13,$21.41,$27.46,"$48,493"
51-7041,"Sawing Machine Setters/Operators & Tenders, Wood", 218 ,$18.41,$15.62,$18.71,$21.71,"$38,311"
25-2031,"Secondary School Teachers, Except Spec/Voc/Tech Educ"," 4,490 ",,,,,"$65,563"
43-6014,"Secretaries & Admin Assts, Except Legal/Medical & Exec"," 16,607 ",$20.25,$16.66,$20.18,$23.45,"$42,115"
41-3031,"Securities, Commodities & Financial Services Sales Agents"," 3,463 ",$47.37,$19.19,$31.83,$66.17,"$98,548"
49-2098,Security & Fire Alarm Systems Installers, 404 ,$23.15,$18.63,$24.35,$28.21,"$48,149"
33-9032,Security Guards," 10,080 ",$16.69,$11.69,$14.24,$19.25,"$34,712"
25-3021,Self-Enrichment Education Teachers," 3,795 ",$22.58,$15.96,$21.83,$27.96,"$46,957"
51-9141,Semiconductor Processors, 60 ,$16.43,$13.21,$14.44,$18.06,"$34,168"
51-9012,Separating & Filtering Machine Setters/Operators/Tenders, 317 ,$16.54,$13.19,$15.38,$18.34,"$34,403"
47-4071,Septic Tank Servicers & Sewer Pipe Cleaners, 220 ,$22.90,$18.12,$23.54,$27.66,"$47,639"
27-1027,Set & Exhibit Designers, 54 ,$24.06,$18.44,$22.31,$27.65,"$50,060"
51-6031,Sewing Machine Operators," 2,421 ",$14.43,$11.28,$13.82,$17.03,"$30,016"
39-5093,Shampooers,,$11.52,$9.80,$11.24,$13.02,"$23,952"
47-2211,Sheet Metal Workers," 2,092 ",$27.97,$20.35,$23.76,$34.89,"$58,168"
53-5031,Ship Engineers, 879 ,$39.24,$31.88,$36.89,$43.23,"$81,619"
43-5071,"Shipping, Receiving & Traffic Clerks"," 8,525 ",$18.16,$13.73,$17.13,$21.33,"$37,771"
51-6041,Shoe & Leather Workers & Repairers,,$14.06,$13.01,$13.91,$14.82,"$29,232"
49-9097,Signal & Track Switch Repairers, 78 ,$33.43,$28.80,$33.65,$38.44,"$69,547"
39-5094,Skincare Specialists, 553 ,$16.15,$10.90,$13.68,$17.72,"$33,588"
51-3023,Slaughterers & Meat Packers, 215 ,$12.61,$10.71,$11.78,$13.76,"$26,229"
39-1012,Slot Supervisors, 26 ,$23.26,$18.28,$25.39,$28.02,"$48,374"
11-9151,Social & Community Service Managers," 1,204 ",$34.44,$25.39,$31.41,$40.31,"$71,647"
21-1093,Social & Human Service Assistants," 3,844 ",$15.06,$12.03,$14.33,$17.46,"$31,322"
19-4061,Social Science Research Assistants, 226 ,$18.53,$15.99,$17.72,$20.52,"$38,541"
25-1069,"Social Sciences Teachers, Postsecondary, All Other", 68 ,,,,,"$71,789"
19-3099,"Social Scientists & Related Workers, All Other", 364 ,$32.65,$23.07,$31.92,$39.77,"$67,916"
21-1029,"Social Workers, All Other", 406 ,$28.40,$21.76,$29.54,$35.72,"$59,064"
19-3041,Sociologists, 62 ,$32.25,$24.14,$32.79,$40.14,"$67,084"
25-1067,"Sociology Teachers, Postsecondary", 121 ,,,,,"$80,550"
15-1132,"Software Developers, Applications"," 45,312 ",$57.26,$48.07,$56.48,$67.80,"$119,101"
15-1133,"Software Developers, Systems Software"," 8,735 ",$56.45,$46.70,$56.32,$67.24,"$117,418"
19-1013,Soil & Plant Scientists, 23 ,$35.01,$31.57,$35.23,$39.20,"$72,823"
27-4014,Sound Engineering Technicians, 203 ,$27.70,$19.21,$30.74,$35.53,"$57,614"
25-2052,"Special Ed Teachers, Kindergarten & Elementary School"," 1,060 ",,,,,"$61,122"
25-2059,"Special Education Teachers, All Other", 39 ,,,,,"$48,762"
25-2053,"Special Education Teachers, Middle School", 384 ,,,,,"$61,680"
25-2051,"Special Education Teachers, Preschool", 161 ,,,,,"$60,929"
25-2054,"Special Education Teachers, Secondary School", 650 ,,,,,"$62,826"
29-1127,Speech-Language Pathologists," 1,286 ",$36.06,$27.44,$34.40,$43.76,"$75,003"
51-8021,Stationary Engineers & Boiler Operators, 162 ,$30.89,$25.04,$32.06,$36.79,"$64,266"
43-9111,Statistical Assistants, 421 ,$24.89,$20.69,$24.12,$29.01,"$51,776"
15-2041,Statisticians, 697 ,$42.02,$32.57,$41.56,$48.80,"$87,404"
43-5081,Stock Clerks & Order Fillers," 18,039 ",$15.39,$11.12,$13.94,$19.17,"$32,007"
47-2022,Stonemasons,,$25.16,$22.67,$26.06,$28.37,"$52,341"
47-2221,Structural Iron & Steel Workers, 827 ,$37.28,$33.76,$39.87,$43.73,"$77,554"
51-2041,Structural Metal Fabricators & Fitters, 895 ,$20.41,$16.44,$18.46,$22.97,"$42,443"
21-1011,Substance Abuse & Behavioral Disorder Counselors," 1,019 ",$22.10,$17.70,$21.49,$25.40,"$45,973"
25-3098,Substitute Teachers," 6,576 ",$19.58,$17.49,$19.80,$21.91,"$40,721"
29-1067,Surgeons, 325 ,,,,,"$219,342"
29-2055,Surgical Technologists, 734 ,$25.16,$21.44,$25.26,$28.71,"$52,331"
19-3022,Survey Researchers, 141 ,$30.63,$23.70,$27.89,$35.37,"$63,718"
17-3031,Surveying & Mapping Technicians, 520 ,$27.08,$22.40,$27.26,$32.61,"$56,336"
17-1022,Surveyors, 403 ,$35.51,$28.15,$36.82,$44.04,"$73,847"
43-2011,"Switchboard Operators, Including Answering Service", 615 ,$16.94,$14.05,$16.47,$18.68,"$35,234"
51-6052,"Tailors, Dressmakers & Custom Sewers",,$14.52,$12.76,$14.24,$16.48,"$30,209"
53-7121,"Tank Car, Truck & Ship Loaders", 156 ,$25.28,$15.49,$22.68,$33.47,"$52,603"
47-2082,Tapers, 954 ,$25.81,$20.74,$23.58,$32.60,"$53,679"
13-2081,"Tax Examiners, Collectors & Revenue Agents",,$27.14,$22.70,$24.45,$27.66,"$56,458"
13-2082,Tax Preparers, 386 ,$17.96,$12.66,$14.93,$18.68,"$37,344"
53-3041,Taxi Drivers & Chauffeurs," 2,940 ",$14.59,$11.11,$14.46,$17.66,"$30,338"
25-9041,Teacher Assistants," 12,568 ",,,,,"$33,512"
25-3097,"Teachers & Instructors, All Other, Exc Substitute Teachers"," 2,272 ",,,,,"$41,045"
51-2092,Team Assemblers," 5,947 ",$16.54,$12.89,$15.33,$18.96,"$34,403"
27-3042,Technical Writers, 862 ,$40.45,$33.13,$40.79,$47.05,"$84,129"
49-2022,"Telecom Equip Installers/Repairers, Except Line"," 1,887 ",$31.72,$25.64,$31.47,$36.20,"$65,977"
49-9052,Telecommunications Line Installers & Repairers, 602 ,$28.30,$21.89,$27.88,$35.01,"$58,878"
41-9041,Telemarketers," 1,970 ",$14.14,$11.04,$13.59,$16.59,"$29,402"
43-3071,Tellers," 3,605 ",$14.72,$12.75,$14.24,$16.57,"$30,627"
51-6062,"Textile Cutting Machine Setters, Operators & Tenders", 32 ,$13.63,$10.71,$11.83,$16.60,"$28,357"
29-1129,"Therapists, All Other",,$28.32,$21.77,$28.16,$34.13,"$58,901"
47-2044,Tile & Marble Setters," 1,025 ",$26.32,$24.01,$26.41,$29.02,"$54,733"
49-3093,Tire Repairers & Changers,,$15.51,$12.58,$14.78,$17.59,"$32,258"
23-2093,"Title Examiners, Abstractors, & Searchers", 670 ,$23.34,$17.80,$22.33,$28.22,"$48,559"
51-4194,"Tool Grinders, Filers & Sharpeners", 136 ,$34.79,$22.87,$40.51,$45.43,"$72,367"
39-7011,Tour Guides & Escorts, 321 ,$15.07,$10.77,$13.19,$14.83,"$31,350"
53-6041,Traffic Technicians, 46 ,$26.62,$24.72,$27.13,$29.53,"$55,358"
11-3131,Training & Development Managers, 355 ,$53.84,$40.69,$52.31,$66.08,"$111,993"
13-1151,Training & Development Specialists," 3,065 ",$34.85,$25.10,$34.96,$44.73,"$72,489"
33-3052,Transit & Railroad Police,,$21.78,$17.94,$20.72,$23.22,"$45,288"
53-6061,"Transportation Attendants, Except Flight Attendants",,$14.12,$12.63,$13.64,$14.67,"$29,372"
53-6051,Transportation Inspectors, 313 ,$49.66,$43.10,$51.73,$59.41,"$103,295"
33-9093,Transportation Security Screeners, 828 ,$18.89,$17.71,$18.59,$20.53,"$39,290"
53-6099,"Transportation Workers, All Other", 396 ,$18.13,$13.33,$18.16,$21.80,"$37,709"
11-3071,"Transportation, Storage & Distribution Managers"," 1,639 ",$50.08,$35.28,$49.34,$62.91,"$104,165"
53-1031,Transportation/Material Moving Vehicle Opr Supervisors," 2,394 ",$34.06,$23.68,$32.74,$41.55,"$70,852"
41-3041,Travel Agents," 1,181 ",$21.34,$14.73,$21.07,$24.85,"$44,386"
37-3013,Tree Trimmers & Pruners, 55 ,$26.48,$24.62,$27.48,$30.35,"$55,067"
53-3032,"Truck Drivers, Heavy & Tractor-Trailer"," 10,727 ",$22.55,$17.64,$21.61,$26.92,"$46,910"
53-3033,"Truck Drivers, Light or Delivery Services"," 9,468 ",$17.95,$12.83,$16.36,$21.52,"$37,353"
51-6093,Upholsterers, 272 ,$20.51,$12.25,$18.44,$25.97,"$42,667"
19-3051,Urban & Regional Planners," 1,080 ",$40.89,$34.35,$39.91,$46.19,"$85,062"
39-3031,"Ushers, Lobby Attendants & Ticket Takers",,$12.45,$10.02,$11.51,$14.13,"$25,883"
29-1131,Veterinarians, 643 ,$42.88,$33.56,$40.84,$54.16,"$89,199"
31-9096,Veterinary Assistants & Laboratory Animal Caretakers, 977 ,$13.69,$11.89,$13.51,$15.13,"$28,479"
29-2056,Veterinary Technologists & Technicians, 820 ,$17.14,$15.19,$16.84,$18.44,"$35,641"
25-1194,"Vocational Education Teachers, Postsecondary"," 2,141 ",$28.20,$22.77,$26.80,$31.56,"$58,648"
35-3031,Waiters & Waitresses," 22,842 ",$14.77,$9.62,$11.04,$17.40,"$30,717"
51-8031,Water & Wastewater Treatment Plant & System Operators, 534 ,$34.61,$30.69,$34.80,$39.36,"$71,971"
15-1134,Web Developers," 3,846 ",$42.67,$30.17,$41.44,$54.98,"$88,743"
43-5111,"Weighers/Measurers/Checkers & Samplers, Recordkeeping", 365 ,$18.09,$15.07,$18.30,$21.61,"$37,629"
51-4121,"Welders, Cutters, Solderers & Brazers"," 2,320 ",$23.85,$19.48,$22.60,$27.18,"$49,599"
51-4122,Welding/Soldering/Brazing Mach Setters/Oprs & Tenders, 182 ,$19.12,$13.16,$17.11,$23.99,"$39,787"
13-1022,"Wholesale & Retail Buyers, Except Farm Products",,$26.20,$20.15,$25.32,$31.85,"$54,501"
51-7099,"Woodworkers, All Other", 67 ,$17.38,$14.78,$16.67,$18.71,"$36,163"
51-7042,"Woodworking Mach Setters/Oprs & Tenders, Except Sawing",,$17.21,$13.57,$17.42,$21.08,"$35,797"
43-9022,Word Processors & Typists, 304 ,$25.78,$20.50,$24.30,$31.81,"$53,603"
27-3043,Writers & Authors, 906 ,$35.62,$25.13,$34.64,$43.64,"$74,101"
19-1023,Zoologists & Wildlife Biologists, 707 ,$40.57,$29.87,$36.83,$47.49,"$84,382"
,,,,,,,
Back to top,,,,,,,
