SOC code,Seattle-Bellevue-Everett WA MD occupational title, Estimated employment ,Average wage,25th percentile,50th percentile,75th percentile,Annual wage,,Index
51-5111,Prepress Technicians & Workers, 270 ,$23.24,$17.95,$23.32,$28.75,"$48,344",,
25-2011,"Preschool Teachers, Except Special Education"," 4,361 ",$16.18,$13.33,$15.71,$18.59,"$33,660",,
51-6021,"Pressers, Textile, Garment & Related Materials", 470 ,$15.67,$13.16,$16.47,$18.42,"$32,590",,
51-5113,Print Binding & Finishing Workers, 527 ,$17.12,$14.08,$16.61,$18.97,"$35,622",,
51-5112,Printing Press Operators," 1,371 ",$22.20,$17.35,$21.42,$26.02,"$46,169",,
33-9021,Private Detectives & Investigators, 195 ,$36.64,$24.72,$33.38,$46.89,"$76,205",,
21-1092,Probation Officers & Correctional Treatment Specialists, 586 ,$29.30,$24.90,$27.59,$33.62,"$60,930",,
43-3061,Procurement Clerks, 359 ,$23.10,$18.91,$22.42,$26.90,"$48,042",,
27-2012,Producers & Directors," 2,004 ",$35.03,$25.20,$32.34,$43.74,"$72,859",,
51-1011,Production & Operating Worker Supervisors," 6,481 ",$38.27,$27.48,$37.03,$48.57,"$79,606",,
51-9198,Production Worker Helpers," 3,458 ",$15.08,$12.00,$14.07,$17.51,"$31,354",,
51-9199,"Production Workers, All Other"," 1,452 ",$15.68,$10.76,$12.43,$17.09,"$32,620",,
43-5061,"Production, Planning & Expediting Clerks"," 6,861 ",$25.42,$19.44,$23.75,$32.56,"$52,852",,
43-9081,Proofreaders & Copy Markers, 295 ,$21.41,$16.60,$18.93,$25.27,"$44,530",,
11-9141,"Property, Real Estate & Community Association Managers"," 1,497 ",$43.07,$28.38,$36.21,$54.83,"$89,593",,
33-1099,"Protective Service Worker Supervisors, All Other", 826 ,$26.54,$17.94,$24.49,$31.31,"$55,210",,
33-9099,"Protective Service Workers, All Other"," 1,058 ",$26.77,$16.47,$18.83,$31.89,"$55,682",,
31-1013,Psychiatric Aides, 170 ,$13.54,$10.03,$12.10,$16.98,"$28,165",,
29-2053,Psychiatric Technicians, 171 ,$20.45,$17.56,$20.86,$23.00,"$42,531",,
29-1066,Psychiatrists, 125 ,$104.21,$81.54,,,"$216,765",,
19-3039,"Psychologists, All Other", 190 ,$42.92,$39.58,$45.50,$50.67,"$89,254",,
25-1066,"Psychology Teachers, Postsecondary", 399 ,,,,,"$75,998",,
11-2031,Public Relations & Fundraising Managers," 1,483 ",$57.45,$40.61,$52.39,$69.90,"$119,481",,
27-3031,Public Relations Specialists," 3,573 ",$35.51,$24.98,$32.58,$40.72,"$73,862",,
13-1023,"Purchasing Agents, Except Wholesale/Retail/Farm Products"," 8,135 ",$37.02,$28.05,$36.01,$46.07,"$77,011",,
11-3061,Purchasing Managers," 1,507 ",$67.15,$52.34,$64.30,$78.64,"$139,665",,
29-1124,Radiation Therapists, 233 ,$52.26,$42.44,$53.08,$62.25,"$108,717",,
27-3011,Radio & Television Announcers, 267 ,$33.47,$13.75,$20.15,$36.51,"$69,599",,
49-2021,"Radio, Cellular & Tower Equipment Installers/Repairers", 482 ,$29.99,$24.76,$30.17,$35.42,"$62,374",,
29-2034,Radiologic Technologists & Technicians," 1,667 ",$34.72,$28.62,$33.79,$39.94,"$72,231",,
49-3043,Rail Car Repairers, 299 ,$25.40,$22.39,$27.12,$29.57,"$52,826",,
47-4061,Rail Track Laying & Maintenance Equipment Operators,,$24.58,$21.47,$23.26,$25.04,"$51,140",,
53-4031,Railroad Conductors & Yardmasters,,$28.45,$21.74,$28.25,$35.40,"$59,181",,
41-9021,Real Estate Brokers, 259 ,$42.96,$26.06,$30.87,$55.92,"$89,350",,
41-9022,Real Estate Sales Agents," 4,459 ",$29.93,$17.14,$24.24,$33.90,"$62,250",,
43-4171,Receptionists & Information Clerks," 10,502 ",$16.76,$13.60,$16.50,$19.34,"$34,840",,
25-1193,"Recreation & Fitness Studies Teachers, Postsecondary", 137 ,,,,,"$54,085",,
39-9032,Recreation Workers," 3,110 ",$15.81,$11.47,$13.64,$18.02,"$32,890",,
29-1125,Recreational Therapists, 85 ,$31.06,$24.42,$31.66,$37.80,"$64,606",,
49-3092,Recreational Vehicle Service Technicians, 225 ,$23.21,$19.55,$24.09,$27.98,"$48,285",,
49-9045,"Refractory Materials Repairers, Except Brickmasons", 12 ,,,,,,,
53-7081,Refuse & Recyclable Material Collectors, 810 ,$20.44,$15.69,$19.07,$25.22,"$42,504",,
29-1141,Registered Nurses," 26,119 ",$40.28,$32.54,$39.98,$48.17,"$83,796",,
21-1015,Rehabilitation Counselors," 1,954 ",$23.14,$15.16,$18.63,$26.94,"$48,131",,
47-2171,Reinforcing Iron & Rebar Workers, 340 ,$32.58,$24.02,$31.12,$44.45,"$67,772",,
21-2099,"Religious Workers, All Other", 305 ,$15.83,$9.78,$13.41,$17.78,"$32,911",,
27-3022,Reporters & Correspondents, 399 ,$28.49,$14.80,$25.43,$37.42,"$59,249",,
43-4181,Reservation/Transportation Ticket Agents/Travel Clerks," 2,328 ",$18.61,$13.41,$18.22,$23.73,"$38,710",,
39-9041,Residential Advisors, 732 ,$14.78,$12.34,$13.91,$15.53,"$30,743",,
29-1126,Respiratory Therapists, 857 ,$35.12,$31.05,$35.35,$39.41,"$73,042",,
41-2031,Retail Salespersons," 47,528 ",$15.33,$11.20,$12.96,$15.59,"$31,890",,
49-9096,Riggers, 94 ,$29.73,$26.37,$28.80,$31.04,"$61,826",,
51-4023,Rolling Machine Setters/Operators & Tenders/Metal & Plastic, 186 ,$21.54,$16.05,$18.94,$23.57,"$44,811",,
47-2181,Roofers," 1,585 ",$24.66,$19.06,$25.78,$29.18,"$51,292",,
53-5011,Sailors & Marine Oilers," 3,031 ",$24.32,$21.97,$24.91,$27.08,"$50,576",,
41-9099,"Sales & Related Workers, All Other", 925 ,$25.58,$19.39,$23.46,$30.29,"$53,200",,
41-9031,Sales Engineers," 1,121 ",$60.32,$48.29,$60.53,$72.40,"$125,460",,
11-2022,Sales Managers," 4,808 ",$66.13,$41.94,$59.12,$82.08,"$137,553",,
41-3099,"Sales Reps, Services, All Other"," 11,015 ",$30.01,$18.25,$25.87,$35.81,"$62,420",,
41-4012,"Sales Reps/Wholesale/Mfg, Except Tech/Science Products"," 20,171 ",$34.64,$19.14,$29.42,$44.00,"$72,050",,
41-4011,"Sales Reps/Wholesale/Mfg, Tech/Scientific Products"," 3,671 ",$45.37,$24.97,$43.93,$59.33,"$94,370",,
41-1012,"Sales Worker Supervisors, Non-Retail"," 2,579 ",$41.41,$27.74,$36.98,$48.60,"$86,120",,
41-1011,"Sales Worker Supervisors, Retail"," 9,809 ",$23.65,$17.56,$21.65,$26.76,"$49,200",,
51-7041,"Sawing Machine Setters/Operators & Tenders, Wood", 213 ,$18.88,$15.16,$18.17,$22.58,"$39,257",,
25-2031,"Secondary School Teachers, Except Spec/Voc/Tech Education"," 5,200 ",,,,,"$65,011",,
43-6014,"Secretaries & Admin Assts, Except Legal/Medical & Exec"," 15,508 ",$21.26,$17.19,$21.11,$25.12,"$44,224",,
41-3031,"Securities, Commodities & Financial Services Sales Agents"," 3,841 ",$47.25,$20.34,$30.67,$66.59,"$98,280",,
49-2098,Security & Fire Alarm Systems Installers, 484 ,$23.25,$16.50,$23.51,$28.74,"$48,356",,
33-9032,Security Guards," 10,636 ",$17.85,$13.27,$15.59,$20.50,"$37,132",,
25-3021,Self-Enrichment Education Teachers," 3,477 ",$23.33,$16.41,$22.02,$28.60,"$48,536",,
51-9141,Semiconductor Processors, 97 ,$21.36,$16.09,$19.47,$26.54,"$44,413",,
51-9012,Separating & Filtering Machine Setters/Operators/Tenders, 410 ,$18.50,$14.41,$17.29,$21.39,"$38,471",,
47-4071,Septic Tank Servicers & Sewer Pipe Cleaners, 250 ,$19.95,$12.66,$18.70,$26.81,"$41,509",,
27-1027,Set & Exhibit Designers, 125 ,$29.67,$22.43,$28.07,$35.00,"$61,720",,
51-6031,Sewing Machine Operators," 3,281 ",$14.90,$11.76,$14.10,$17.35,"$30,987",,
47-2211,Sheet Metal Workers," 1,974 ",$29.99,$20.03,$25.81,$41.48,"$62,381",,
53-5031,Ship Engineers, 777 ,$40.47,$32.12,$40.90,$46.13,"$84,187",,
43-5071,"Shipping, Receiving & Traffic Clerks"," 8,742 ",$18.59,$14.61,$17.94,$22.04,"$38,689",,
39-5094,Skincare Specialists, 404 ,$18.14,$12.94,$15.51,$19.61,"$37,727",,
51-3023,Slaughterers and Meat Packers, 271 ,$13.39,$11.57,$13.31,$14.97,"$27,832",,
11-9151,Social & Community Service Managers," 1,608 ",$33.29,$25.04,$32.28,$41.87,"$69,246",,
21-1093,Social & Human Service Assistants," 2,224 ",$20.30,$16.66,$19.29,$23.22,"$42,227",,
19-4061,Social Science Research Assistants, 240 ,$21.96,$17.31,$20.45,$24.29,"$45,680",,
25-1069,"Social Sciences Teachers, Postsecondary, All Other", 137 ,,,,,"$75,593",,
19-3099,"Social Scientists & Related Workers, All Other", 417 ,$32.75,$25.09,$30.13,$39.07,"$68,120",,
25-1113,"Social Work Teachers, Postsecondary", 147 ,,,,,,,
21-1029,"Social Workers, All Other", 260 ,$32.61,$27.18,$33.29,$39.43,"$67,827",,
19-3041,Sociologists, 51 ,$35.04,$27.77,$31.71,$41.94,"$72,880",,
25-1067,"Sociology Teachers, Postsecondary", 127 ,,,,,"$80,211",,
15-1132,"Software Developers, Applications"," 45,504 ",$64.30,$51.96,$62.43,$76.01,"$133,749",,
15-1133,"Software Developers, Systems Software"," 12,166 ",$56.96,$45.88,$56.75,$68.38,"$118,479",,
19-1013,Soil & Plant Scientists,,$36.62,$26.66,$33.71,$44.05,"$76,150",,
27-4014,Sound Engineering Technicians, 293 ,$40.12,$32.35,$37.17,$54.79,"$83,462",,
25-2052,"Special Ed Teachers, Kindergarten & Elementary School"," 1,133 ",,,,,"$62,622",,
25-2059,"Special Education Teachers, All Other", 57 ,,,,,"$57,842",,
25-2053,"Special Education Teachers, Middle School", 409 ,,,,,"$62,692",,
25-2051,"Special Education Teachers, Preschool", 192 ,,,,,"$63,108",,
25-2054,"Special Education Teachers, Secondary School", 748 ,,,,,"$63,857",,
29-1127,Speech-Language Pathologists," 1,457 ",$37.41,$31.81,$36.79,$43.45,"$77,801",,
51-8021,Stationary Engineers & Boiler Operators, 150 ,$36.71,$30.46,$37.40,$43.65,"$76,359",,
43-9111,Statistical Assistants, 318 ,$28.35,$23.02,$28.94,$34.05,"$58,958",,
15-2041,Statisticians, 760 ,$45.28,$35.35,$44.13,$51.37,"$94,175",,
43-5081,Stock Clerks & Order Fillers," 19,085 ",$16.54,$11.93,$14.91,$20.66,"$34,411",,
47-2022,Stonemasons, 261 ,$22.53,$17.36,$23.56,$28.42,"$46,859",,
47-2221,Structural Iron & Steel Workers, 608 ,$40.61,$37.41,$44.26,$48.10,"$84,475",,
51-2041,Structural Metal Fabricators & Fitters," 1,078 ",$22.51,$17.26,$20.42,$25.55,"$46,822",,
21-1011,Substance Abuse & Behavioral Disorder Counselors," 1,342 ",$18.64,$14.84,$18.00,$22.16,"$38,774",,
25-3098,Substitute Teachers," 5,496 ",$20.28,$17.90,$20.50,$22.91,"$42,187",,
29-1067,Surgeons, 462 ,$115.64,$86.21,,,"$240,542",,
29-2055,Surgical Technologists, 999 ,$27.78,$23.28,$27.40,$31.60,"$57,771",,
19-3022,Survey Researchers, 135 ,$29.19,$19.58,$28.24,$38.25,"$60,718",,
17-3031,Surveying & Mapping Technicians, 628 ,$27.04,$21.38,$27.33,$32.41,"$56,232",,
17-1022,Surveyors, 406 ,$38.49,$32.25,$41.73,$47.27,"$80,059",,
43-2011,"Switchboard Operators, Including Answering Service", 901 ,$18.26,$15.06,$17.35,$19.46,"$37,974",,
51-6052,"Tailors, Dressmakers & Custom Sewers",,$15.47,$13.84,$15.09,$17.10,"$32,171",,
53-7121,"Tank Car, Truck & Ship Loaders", 116 ,$23.91,$15.44,$19.84,$31.30,"$49,713",,
47-2082,Tapers," 1,116 ",$30.27,$22.38,$26.68,$39.15,"$62,961",,
13-2081,"Tax Examiners, Collectors & Revenue Agents", 382 ,$33.53,$25.03,$30.50,$40.97,"$69,746",,
13-2082,Tax Preparers, 708 ,$19.76,$13.97,$16.88,$22.03,"$41,082",,
53-3041,Taxi Drivers & Chauffeurs," 2,596 ",$13.67,$11.26,$12.66,$15.80,"$28,425",,
25-9041,Teacher Assistants," 13,396 ",,,,,"$34,906",,
25-3097,"Teachers & Instructors, All Other, Exc Substitute Teachers"," 3,263 ",,,,,"$42,743",,
51-2092,Team Assemblers," 7,679 ",$18.06,$14.07,$16.93,$20.92,"$37,562",,
27-3042,Technical Writers, 859 ,$40.84,$31.46,$39.41,$49.80,"$84,940",,
49-2022,"Telecom Equip Installers/Repairers, Except Line"," 2,687 ",$27.41,$19.88,$27.91,$34.53,"$57,002",,
49-9052,Telecommunications Line Installers & Repairers, 691 ,$26.39,$18.71,$25.18,$33.10,"$54,884",,
41-9041,Telemarketers," 1,737 ",$14.97,$11.71,$14.29,$17.44,"$31,130",,
43-3071,Tellers," 3,646 ",$15.42,$13.28,$14.80,$17.42,"$32,062",,
47-2053,Terrazzo Workers & Finishers,,$17.61,$13.55,$15.52,$22.62,"$36,627",,
51-6062,"Textile Cutting Machine Setters,Operators & Tenders", 60 ,$14.10,$10.79,$11.79,$17.87,"$29,323",,
51-6063,"Textile Knitting/Weaving Machine Setters,Oprs & Tenders",,$16.47,$14.67,$16.66,$18.42,"$34,264",,
51-6064,"Textile Wind/Twist/Draw-Out Machine Setters,Oprs & Tenders",,$14.19,$12.29,$13.82,$15.28,"$29,517",,
29-1129,"Therapists, All Other", 23 ,$33.83,$29.11,$33.52,$37.87,"$70,378",,
47-2044,Tile & Marble Setters, 774 ,$26.68,$22.16,$25.67,$30.20,"$55,491",,
49-3093,Tire Repairers & Changers, 888 ,$14.04,$11.12,$12.81,$14.68,"$29,190",,
23-2093,"Title Examiners, Abstractors, & Searchers", 569 ,$24.94,$18.57,$23.57,$29.81,"$51,877",,
51-4194,"Tool Grinders, Filers & Sharpeners", 147 ,$33.63,$21.58,$32.13,$47.05,"$69,958",,
39-7011,Tour Guides & Escorts, 725 ,$18.19,$12.45,$15.41,$23.87,"$37,840",,
53-6041,Traffic Technicians,,$32.36,$28.33,$32.40,$36.64,"$67,315",,
11-3131,Training & Development Managers, 491 ,$61.84,$44.81,$55.66,$72.77,"$128,624",,
13-1151,Training & Development Specialists," 3,677 ",$35.29,$25.84,$34.45,$44.50,"$73,389",,
33-3052,Transit & Railroad Police,,$24.09,$18.91,$22.00,$25.00,"$50,105",,
53-6051,Transportation Inspectors, 368 ,,,,,,,
33-9093,Transportation Security Screeners,,$20.11,$16.67,$19.45,$21.38,"$41,836",,
53-6099,"Transportation Workers, All Other", 362 ,$26.31,$20.10,$27.08,$30.93,"$54,735",,
11-3071,"Transportation, Storage & Distribution Managers"," 1,452 ",$57.97,$42.94,$56.94,$70.37,"$120,573",,
53-1031,Transportation/Material Moving Vehicle Operator Supervisors," 2,488 ",$34.11,$23.33,$33.40,$41.81,"$70,960",,
41-3041,Travel Agents," 1,066 ",$23.09,$19.54,$23.45,$27.82,"$48,030",,
37-3013,Tree Trimmers & Pruners,,$25.24,$21.65,$24.04,$28.69,"$52,488",,
53-3032,"Truck Drivers, Heavy & Tractor-Trailer"," 10,871 ",$23.80,$17.98,$22.88,$29.06,"$49,508",,
53-3033,"Truck Drivers, Light or Delivery Services"," 9,271 ",$19.40,$14.19,$17.63,$23.25,"$40,348",,
27-2023,"Umpires, Referees & Other Sports Officials", 103 ,,,,,"$28,040",,
51-6093,Upholsterers, 210 ,$20.26,$15.48,$18.58,$23.76,"$42,126",,
19-3051,Urban & Regional Planners," 1,064 ",$41.45,$35.11,$40.98,$47.63,"$86,216",,
39-3031,"Ushers, Lobby Attendants & Ticket Takers"," 2,451 ",$14.24,$12.22,$14.02,$16.24,"$29,603",,
29-1131,Veterinarians, 666 ,$45.88,$37.07,$44.89,$54.97,"$95,431",,
31-9096,Veterinary Assistants & Laboratory Animal Caretakers," 1,377 ",$15.36,$12.86,$14.93,$17.52,"$31,934",,
29-2056,Veterinary Technologists & Technicians, 788 ,$18.50,$15.47,$17.75,$20.94,"$38,490",,
25-1194,"Vocational Education Teachers, Postsecondary"," 2,331 ",$30.12,$22.18,$27.75,$36.30,"$62,652",,
35-3031,Waiters & Waitresses," 25,987 ",$16.73,$11.14,$12.95,$21.21,"$34,810",,
51-8031,Water & Wastewater Treatment Plant & System Operators, 622 ,$35.30,$30.58,$35.55,$40.18,"$73,409",,
15-1134,Web Developers," 3,907 ",$46.57,$33.24,$44.27,$58.33,"$96,869",,
43-5111,"Weighers/Measurers/Checkers & Samplers, Recordkeeping", 446 ,$18.46,$14.79,$18.00,$21.79,"$38,393",,
51-4121,"Welders, Cutters, Solderers & Brazers"," 3,323 ",$24.29,$19.01,$23.34,$28.45,"$50,518",,
51-4122,Welding/Soldering/Brazing Mach Setters/Operators & Tenders, 139 ,$24.49,$18.44,$25.11,$29.66,"$50,957",,
13-1022,"Wholesale & Retail Buyers, Except Farm Products"," 2,540 ",$31.67,$21.99,$28.80,$41.01,"$65,889",,
51-7042,"Woodworking Machine Setters/Oprs & Tenders, Except Sawing", 756 ,$18.78,$15.99,$18.43,$21.85,"$39,063",,
43-9022,Word Processors & Typists, 303 ,$28.74,$22.04,$26.44,$36.00,"$59,785",,
27-3043,Writers & Authors, 954 ,$34.02,$22.85,$32.29,$42.67,"$70,773",,
19-1023,Zoologists & Wildlife Biologists, 759 ,$38.74,$26.67,$35.22,$48.06,"$80,596",,
,,,,,,,,,
Back to top,,,,,,,,,
